channel	dur	id	rank	set	subs	title	upload	views	affiliate	age_days	categories	chapters	comment_per_10k	comments	cta	desc_head	desc_len	fps	h	has_subs	hashtags	lang	like_rate_pct	likes	links	m_cuts	m_cuts_first10s	m_cuts_on_onset_pct	m_cuts_on_word_pct	m_cuts_per_min	m_dur	m_first_cut	m_first_word	m_fps	m_grid_step	m_h	m_harm_over_perc	m_longest_hold	m_max_pause	m_median_cut_to_word	m_median_shot	m_onsets	m_onsets_per_min	m_pct_shots_under2s	m_silent_pct	m_talk_pct	m_w	m_words	m_wpm	n_tags	recipe_in_desc	socials	tags	url	views_per_day	w
Pinch Of Warmth	270	8909Nv2EqhQ	11	long	42500	I Made the Thickest Brown Butter Cookies Ever ♡ Bake With Me	20260422	244904	False	119	Howto & Style	0	19.0	466	False	🍪 Browned‑Butter Chocolate Chunk Cookies ⏎ INGREDIENTS (grams + cups) ⏎  ⏎ • ¾ cup unsalted butter = 170 g — brown this ⏎ • ¼ cup unsalted butter = 57 g — add to browned butter to make it creamy ⏎ • Brown sugar: 100 g (½ cup) ⏎ • White sugar: 75 g (⅓ cup) ⏎ • Eggs: 2 large (100 g) ⏎ • Vanilla extract: 2 tsp ⏎ • All‑purpose flour: 350 g (2¾ cups) ⏎ • Salt: 2 g (½ tsp) ⏎ • Baking powder: 6 g (1½ tsp) ⏎ • Cornstarch: 6 g (2	2115	30.0	720	False	23		4.1	10051	0	4	0	0	0	0.9	269.9	47.5	238.79	30.0	3.0	720	0.28	138.3	238.8	41.03	46.27	7	1.6	20	91	0	1280	2		7	True	False	How to make brown butter cookies | Thick brown butter cookies | How to make thick cookies | Chunky cookies | Gooey cookies | Soft cookies | Chewy cookies	https://www.youtube.com/watch?v=8909Nv2EqhQ	2058	1280
Cookie Kitchen Tv	307	kS_Clm3FA7o	12	long	16500	New Style Chocolate Chip Cookie Recipe ( All From One Dough!)	20260218	182476	False	182	Education	0	9.4	171	True	You Have To Try These Amazing American Mini Cookie Pies | You’ll Make Them Every Week! 🍪🥧 ⏎  ⏎ If you love classic American desserts like chocolate chip cookies and mini pies, this recipe is about to become your new favorite! These American Mini Cookie Pies are soft, chewy, buttery, and made from just one simple dough. Yes — one dough, endless possibilities! ⏎  ⏎ Perfect for parties, holidays, bake sales,	1407	60.0	720	False	10		3.87	7060	1	59	1	0		11.5	306.7	8.48		60.0	3.0	720	0.53	25.3	306.7		3.53	4	0.8	27	70	0	1280	0		26	True	False	mini cookie pies | american desserts | cookie pie recipe | easy dessert recipes | weekly baking | delicious mini pies | homemade cookies | sweet treats | baking ideas | dessert ideas | pie recipes | mini desserts	https://www.youtube.com/watch?v=kS_Clm3FA7o	1003	1280
Piper's Gold	15	vYA2RDDWfOg	13	long	6650	Decadent Molten Chocolate Chip.	20251231	13931018	False	231	People & Blogs	0	0.0	3	False	A soft cookie made richer with a molten chocolate heart.	56	25.0	720	False	0		0.0	29	0	2	2	0	0	8.0	15.1	3.44	10.28	25.0	1.0	720	1.91	10.4	10.3	6.22	3.44	4	15.9	33	6	20	1280	5		0	False	False		https://www.youtube.com/watch?v=vYA2RDDWfOg	60307	1280
Nestlé Toll House	15	DzV36K1H7RY	14	long	43800	Nothings better than the original Chocolate Chip Cookies! Peyton Manning x Nestle Toll House	20251001	2213194	False	322	Howto & Style	0	0.0	4	False		0	24.0	720	False	0		0.0	15	0	4	3	0	75	15.9	15.1	1.83	0.17	23.98	1.0	720	0.51	5.0	2.3	0.26	2.81	1	4.0	40	3	71	1280	27	151	0	False	False		https://www.youtube.com/watch?v=DzV36K1H7RY	6873	1280
Crumbl	32	XQvB5w_cHHA	15	long	3180000	Martha Stewart's Chocolate Chip Cookie Thins, Mile-High Lemon Pie, & More! | Crumbl	20251103	3794030	False	289	People & Blogs	0	0.3	101	False	The table is set. Martha Stewart’s Crumbl menu is here! 💛🍽️ Nov 3–8 👇 ⏎  ⏎ 🍓 NEW YORK CHEESECAKE (NEW) ⏎ A classic New York–style cheesecake in a graham cracker crust garnished with fresh strawberries. ⏎  ⏎ 🍫 CLASSIC FUDGE BROWNIE (NEW) ⏎ A fudgy brownie finished with a glossy chocolate glaze and white chocolate drizzle. ⏎  ⏎ 🍪 MARTHA STEWART'S CHOCOLATE CHIP COOKIE THINS (NEW) ⏎ Delicately crisp cookies with caram	1029	24.0	720	False	0		0.01	428	0	7	3	0		12.9	32.5	3.67		24.0	1.0	720	3.04	9.0	32.5		3.65	10	18.5	25	2	0	1280	0		0	False	False		https://www.youtube.com/watch?v=XQvB5w_cHHA	13128	1280
Koreanosh	23	u2XhUfvMC7E	1	short	4440000	S’mores or Chocolate Chip Cookies? 🍪	20250515	99334811	False	461	Gaming	0	0.6	5800	False		0	60	1280	False	0	en-US	0.0		0	5	2	20	40	12.9	23.3	1.23	0.7	60.0	1.0	1280	1.87	6.8	2.3	0.48	3.31	5	12.9	17	2	26	720	20	200	0	False	False		https://www.youtube.com/watch?v=u2XhUfvMC7E	215477	720
Hey It's Honeysuckle	79	9t3tFhoOOps	2	short	2960000	Testing a Cookie Dough Recipe from TikTok! 🍪	20250607	21486743	False	438	People & Blogs	0	1.1	2400	False		0	24	1280	False	0	en	0.0		0	19	0	0	100	14.4	79.3	12.22	0.05	23.98	1.0	1280	1.19	12.8	0.2	0.05	2.98	2	1.5	40	0	100	720	293	222	0	False	False		https://www.youtube.com/watch?v=9t3tFhoOOps	49056	720
FutureCanoe	120	hv5qFlTJ6Fs	3	short	4850000	Supposedly The BEST choco chip cookie from @buzzfeedtasty	20250127	18760737	False	569	Howto & Style	0	2.9	5400	False	#chocolate #cookies #chocolatechipcookies	41	30	1280	False	3	en	0.0		0	21	5	0	95	10.5	120.1	1.93	1.98	30.0	2.0	1280	1.11	16.9	4.0	0.06	5.12	5	2.5	36	1	89	720	396	223	0	False	False		https://www.youtube.com/watch?v=hv5qFlTJ6Fs	32971	720
Birchberry	26	obKCe-OP3rQ	4	short	82400	Nutella stuffed brown butter cookies 🍪🤍🌸🍫	20250320	17728271	False	517	People & Blogs	0	0.4	714	False	Sounds of Baking | Part 2 🎧 ⏎  ⏎ Full recipe is on our website, Birchberryco.com. ⏎  ⏎ Our first product is launching in the U.S. in 2025! Sign up for our email list to get updates and be the first in line! ⏎  ⏎ #nutella #nutellacookies #chocolatechipcookies #baking #brownbutter #cookies #dessert #bakingrecipe #bakingtherapy #aesthetic #asmr	331	30	1280	False	11		0.0		0	3	0	0		7.0	25.6	17.33		30.0	1.0	1280	1.75	17.3	25.6		3.46	2	4.7	50	2	0	720	0		0	False	False		https://www.youtube.com/watch?v=obKCe-OP3rQ	34291	720
Ashley Markle Treats	61	T41Oe_H4VCA	5	short	430000	viral mini chocolate chip cookies recipe 🍪🥛 #shorts #chocolate #easyrecipe #easydessert #baking	20250505	16106609	False	471	Howto & Style	0	5.3	8600	False	MINI CHOCOLATE CHIP COOKIES 🍪🥛 ⏎  ⏎ Ingredients: ⏎ 12 individual @pillsbury chocolate chip cookies ⏎ milk (preferred amount) ⏎  ⏎ Instructions: ⏎ Divide each cookie dough square into 4 mini pieces and roll into balls. Place mini cookies 1 inch apart on a parchment lined baking sheet and FREEZE for about 15 minutes in order to cook and retain their shape. Bake mini cookies at 350º for 6-7 minutes. Allow to cool 	566	30	1280	False	5		0.0		0	17	2	6		16.7	61.1	1.87		29.95	1.0	1280	0.56	11.7	61.1		1.57	7	6.9	56	53	0	720	0		0	True	True		https://www.youtube.com/watch?v=T41Oe_H4VCA	34197	720
